episode,timestep,reward
1224,7778,35.48
1225,7787,82.655
1226,7793,54.165
1227,7802,82.883
1228,7807,45.545
1229,7813,54.786
1230,7821,73.41
1231,7825,36.172
1232,7831,54.492
1233,7838,64.252
1234,7844,54.193
1235,7854,91.518
1236,7860,54.653
1237,7865,45.087
1238,7869,36.136
1239,7876,63.879
1240,7882,54.538
1241,7890,73.172
1242,7895,45.187
1243,7903,73.138
1244,7908,45.144
1245,7915,63.331
1246,7923,73.104
1247,7929,54.897
1248,7934,45.566
1249,7943,82.423
1250,7947,35.62
1251,7951,35.781
1252,7958,63.684
1253,7965,63.636
1254,7970,44.845
1255,7975,45.186
1256,7981,54.712
1257,7986,45.478
1258,7992,54.478
1259,7998,54.095
1260,8005,64.222
1261,8011,54.627
1262,8016,45.368
1263,8024,73.516
1264,8031,63.563
1265,8037,54.632
1266,8043,54.819
1267,8050,63.97
1268,8055,45.542
1269,8062,63.636
1270,8072,91.761
1271,8077,44.865
1272,8082,45.229
1273,8087,45.009
1274,8092,45.274
1275,8100,72.975
1276,8106,54.817
1277,8114,73.512
1278,8125,100.964
1279,8131,54.307
1280,8137,54.88
1281,8144,63.79
1282,8149,44.902
1283,8155,54.735
1284,8160,45.559
1285,8168,72.714
1286,8172,36.187
1287,8180,73.028
1288,8188,73.63
1289,8194,54.657
1290,8204,91.13
1291,8211,63.717
1292,8217,54.869
1293,8223,54.941
1294,8229,54.408
1295,8235,54.414
1296,8244,82.072
1297,8253,82.524
1298,8261,72.99
1299,8266,44.854
1300,8271,45.475
1301,8275,36.078
1302,8280,45.259
1303,8285,45.041
1304,8296,101.322
1305,8304,73.407
1306,8312,73.115
1307,8321,82.788
1308,8328,64.18
1309,8332,36.379
1310,8342,91.484
1311,8349,63.482
1312,8353,36.218
1313,8358,45.377
1314,8366,73.25
1315,8372,54.238
1316,8378,54.709
1317,8385,63.532
1318,8390,45.041
1319,8399,82.719
1320,8405,54.532
1321,8410,45.22
1322,8414,36.076
1323,8423,82.682
1324,8428,45.023
1325,8437,82.553
1326,8443,54.504
1327,8449,54.628
1328,8457,73.282
1329,8465,73.257
1330,8472,63.755
1331,8479,63.71
1332,8486,63.565
1333,8490,36.192
1334,8497,63.486
1335,8504,63.634
1336,8517,120.048
1337,8523,54.279
1338,8528,45.326
1339,8536,73.206
1340,8543,64.116
1341,8548,45.281
1342,8553,45.206
1343,8560,63.774
1344,8568,73.155
1345,8574,54.611
1346,8582,72.762
1347,8586,36.074
1348,8591,45.209
1349,8601,92.054
1350,8606,44.676
1351,8614,72.851
1352,8621,64.121
1353,8626,45.288
1354,8632,54.42
1355,8637,45.012
1356,8642,44.842
1357,8646,36.051
1358,8652,54.648
1359,8658,54.462
1360,8668,92.143
1361,8673,44.92
1362,8681,73.299
1363,8687,54.337
1364,8691,36.025
1365,8698,63.889
1366,8706,73.434
1367,8714,73.324
1368,8721,64.327
1369,8728,63.792
1370,8733,45.15
1371,8737,35.575
1372,8742,45.446
1373,8751,82.216
1374,8762,101.611
1375,8768,54.245
1376,8772,36.03
1377,8779,63.479
1378,8785,54.567
1379,8790,44.819
1380,8795,45.216
1381,8800,45.48
1382,8805,45.538
1383,8812,63.833
1384,8818,54.372
1385,8827,82.161
1386,8832,45.17
1387,8839,63.955
1388,8844,45.501
1389,8849,45.443
1390,8855,54.834
1391,8860,45.085
1392,8866,54.011
1393,8872,54.79
1394,8877,44.801
1395,8883,54.251
1396,8888,44.779
1397,8894,54.895
1398,8901,63.877
1399,8907,54.606
1400,8913,54.168
1401,8917,36.052
1402,8924,63.634
1403,8932,73.155
1404,8939,63.383
1405,8946,63.422
1406,8955,82.572
1407,8961,54.485
1408,8967,54.413
1409,8974,63.55
1410,8981,63.988
1411,8987,54.71
1412,8991,35.407
1413,8995,35.959
1414,9002,63.571
1415,9007,44.926
1416,9014,63.895
1417,9027,119.36
1418,9031,35.866
1419,9041,91.851
1420,9048,63.992
1421,9053,45.021
1422,9062,82.113
1423,9068,54.292
1424,9072,36.013
1425,9081,81.895
1426,9089,73.743
1427,9093,36.089
1428,9101,73.707
1429,9107,54.122
1430,9115,73.22
1431,9121,54.61
1432,9126,45.418
1433,9132,54.207
1434,9141,82.587
1435,9148,63.659
1436,9154,54.439
1437,9160,54.749
1438,9164,36.306
1439,9169,45.241
1440,9175,54.603
1441,9181,54.536
1442,9186,45.504
1443,9191,44.974
1444,9199,73.516
1445,9206,63.594
1446,9210,36.012
1447,9218,72.817
1448,9224,54.676
1449,9232,72.694
1450,9238,54.091
1451,9246,73.497
1452,9251,44.949
1453,9256,45.567
1454,9260,36.192
1455,9269,82.855
1456,9276,63.644
1457,9284,73.331
1458,9293,82.697
1459,9302,82.686
1460,9308,54.767
1461,9316,73.057
1462,9320,36.019
1463,9331,100.263
1464,9335,36.07
1465,9342,63.319
1466,9346,36.133
1467,9352,54.628
1468,9357,45.022
1469,9361,35.858
1470,9365,35.803
1471,9375,92.202
1472,9382,63.533
1473,9390,73.298
1474,9396,54.233
1475,9403,63.985
1476,9407,35.896
1477,9411,36.093
1478,9415,36.272
1479,9421,54.499
1480,9425,35.925
1481,9430,45.404
1482,9436,54.824
1483,9442,54.311
1484,9447,45.019
1485,9453,54.583
1486,9459,54.329
1487,9468,83.038
1488,9472,36.073
1489,9478,54.655
1490,9485,64.214
1491,9491,54.288
1492,9496,45.077
1493,9502,54.726
1494,9508,54.261
1495,9513,45.029
1496,9521,73.506
1497,9526,45.441
1498,9532,54.875
1499,9540,73.31
1500,9545,45.416
1501,9551,54.321
1502,9557,54.651
1503,9562,45.456
1504,9568,54.575
1505,9575,63.434
1506,9581,54.593
1507,9586,45.393
1508,9592,54.666
1509,9604,109.982
1510,9612,73.049
1511,9617,44.906
